Name,Party,State,District,Incumbent,Winner,Raised,Spent
Kelly Armstrong,R,ND,01,Yes,Yes,"$1,269,346","$1,080,105"
Zach Raknerud,D,ND,01,No,No,"$28,047","$26,029"
Steve Chabot,R,OH,01,Yes,Yes,"$3,177,647","$2,861,464"
Kate Schroder,D,OH,01,No,No,"$4,040,303","$4,039,798"
Kevin Kahn,L,OH,01,No,No,"$12,085","$8,398"
Brad Wenstrup,R,OH,02,Yes,Yes,"$1,794,354","$1,757,078"
Jaime Castle,D,OH,02,No,No,"$284,197","$271,471"
Joyce Beatty,D,OH,03,Yes,Yes,"$2,237,887","$2,540,687"
Nicholas Moss,I,OH,03,No,No,"$1,258","$1,248"
Jim Jordan,R,OH,04,Yes,Yes,"$18,313,823","$12,945,651"
Chris Gibbs,I,OH,04,No,No,"$65,807","$65,807"
Bob Latta,R,OH,05,Yes,Yes,"$1,580,952","$1,477,090"
Nick Rubando,D,OH,05,No,No,"$249,319","$247,423"
Bill Johnson,R,OH,06,Yes,Yes,"$1,866,123","$1,853,361"
Shawna Roberts,D,OH,06,No,No,$262,$574
Bob Gibbs,R,OH,07,Yes,Yes,"$791,888","$453,928"
Quentin Potter,D,OH,07,No,No,"$12,976","$12,976"
Brandon Lape,L,OH,07,No,No,"$3,348","$2,713"
Warren Davidson,R,OH,08,Yes,Yes,"$1,016,740","$841,533"
Vanessa Enoch,D,OH,08,No,No,"$40,270","$37,546"
Marcy Kaptur,D,OH,09,Yes,Yes,"$1,090,395","$979,798"
Rob Weber,R,OH,09,No,No,"$134,898","$123,262"
Michael R,R,OH,10,Yes,Yes,"$1,752,255","$1,736,283"
Desiree Tims,D,OH,10,No,No,"$2,040,760","$2,024,010"
Marcia Fudge,D,OH,11,Yes,Yes,"$755,787","$499,820"
Laverne Gore,R,OH,11,No,No,"$157,044","$156,827"
Troy Balderson,R,OH,12,Yes,Yes,"$2,016,826","$1,995,665"
Alaina Shearer,D,OH,12,No,No,"$1,033,711","$1,025,410"
John Stewart,L,OH,12,No,No,"$75,170","$66,382"
Tim Ryan,D,OH,13,Yes,Yes,"$1,972,446","$2,071,454"
Christina Hagan,R,OH,13,No,No,"$861,723","$820,660"
David P,R,OH,14,Yes,Yes,"$2,917,696","$2,501,449"
